,id,artist_name,track_name,album_name,artist_genre,artist_popularity,track_popularity,artist_followers,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Harry's House,['pop'],94,93,21396163,167303,0.731,6,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4
1,75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Hounds Of Love,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']",80,94,1106089,298933,0.547,10,-13.123,0.055,0.72,0.00314,0.0604,0.197,108.375,298933,4
2,6Sq7ltF9Qa7SNFBsV5Cogx,Bad Bunny,Me Porto Bonito,Un Verano Sin Ti,"['latin', 'reggaeton', 'trap latino']",100,98,49880269,178567,0.712,1,-5.105,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,178567,4
3,6xGruZOHLs39ZbVccQTuPZ,Joji,Glimpse of Us,Glimpse of Us,"['alternative r&b', 'viral pop']",81,89,5992900,233456,0.317,8,-9.258,0.0531,0.891,4.78e-06,0.141,0.268,169.914,233456,3
4,3k3NWokhRRkEPhCzPmV8TW,Bad Bunny,Ojitos Lindos,Un Verano Sin Ti,"['latin', 'reggaeton', 'trap latino']",100,98,49880269,258299,0.686,3,-5.745,0.0413,0.08,1.34e-06,0.528,0.268,79.928,258299,4
5,1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,Un Verano Sin Ti,"['latin', 'reggaeton', 'trap latino']",100,97,49880269,243717,0.715,5,-5.198,0.253,0.0993,0.000291,0.126,0.187,106.672,243717,4
6,10SRMwb9EuVS1K9rYsBfHQ,BTS,Yet To Come,Proof,"['k-pop', 'k-pop boy group']",92,90,50895817,193594,0.885,1,-4.515,0.189,0.0432,0.0,0.333,0.683,172.029,193594,4
7,6Xom58OOXk2SoU711L2IXO,Bad Bunny,Moscow Mule,Un Verano Sin Ti,"['latin', 'reggaeton', 'trap latino']",100,97,49880269,245940,0.674,5,-5.453,0.0333,0.294,1.18e-06,0.115,0.292,99.968,245940,4
8,5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Efecto,Un Verano Sin Ti,"['latin', 'reggaeton', 'trap latino']",100,94,49880269,213061,0.475,7,-8.797,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,213061,4
9,7dSZ6zGTQx66c2GF91xCrb,KAROL G,PROVENZA,PROVENZA,"['latin', 'reggaeton', 'reggaeton colombiano']",87,95,25395820,210200,0.516,1,-8.006,0.0541,0.656,0.00823,0.11,0.53,111.005,210200,4
10,69xohKu8C1fsflYAiSNbwM,BTS,Run BTS,Proof,"['k-pop', 'k-pop boy group']",92,87,50895817,204940,0.818,8,-3.747,0.168,0.0201,0.0,0.0358,0.696,77.004,204940,4
11,1PckUlxKqWQs3RlWXVBLw3,Lizzo,About Damn Time,About Damn Time,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']",80,95,4711087,191822,0.743,10,-6.305,0.0656,0.0995,0.0,0.335,0.722,108.966,191822,4
12,02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Dreamland (+ Bonus Levels),"['gauze pop', 'indietronica', 'shiver pop']",80,90,2952178,238805,0.525,11,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4
13,2rurDawMfoKP4uHyb2kJBt,Shakira,Te Felicito,Te Felicito,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",83,92,23826336,172235,0.636,5,-4.654,0.317,0.234,0.0,0.081,0.575,174.14,172235,4
14,4tYFy8ALRjIZvnvSLw5lxN,Bad Bunny,Party,Un Verano Sin Ti,"['latin', 'reggaeton', 'trap latino']",100,95,49880269,227629,0.799,9,-5.389,0.0897,0.0151,0.000543,0.242,0.471,97.013,227629,4
15,1qEmFfgcLObUfQm0j1W2CK,Harry Styles,Late Night Talking,Harry's House,['pop'],94,95,21396163,177955,0.728,10,-4.595,0.0468,0.298,0.0,0.106,0.901,114.996,177955,4
16,0wHFktze2PHC5jDt3B17DC,Jack Harlow,First Class,Come Home The Kids Miss You,"['deep underground hip hop', 'kentucky hip hop', 'rap']",86,85,2238636,173948,0.582,5,-5.902,0.109,0.111,3.18e-06,0.111,0.332,107.005,173948,4
17,5PjdY0CKGZdEuoNab3yDmX,The Kid LAROI,STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,['australian hip hop'],83,88,3772098,141806,0.764,1,-5.484,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,4
18,2DB4DdfCFMw1iaR6JaR03a,Camila Cabello,Bam Bam (feat. Ed Sheeran),Familia,"['dance pop', 'pop', 'post-teen pop']",83,84,26999877,206071,0.697,8,-6.377,0.0401,0.182,0.0,0.333,0.956,94.996,206071,4
19,0O6u0VJ46W86TxN9wgyqDj,Post Malone,I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,"['dfw rap', 'melodic rap', 'rap']",89,89,37202541,192841,0.67,5,-6.009,0.0751,0.121,0.0,0.121,0.472,100.964,192841,4
20,41oY4WCTj5kccfesTVFnvN,Bad Bunny,Tarot,Un Verano Sin Ti,"['latin', 'reggaeton', 'trap latino']",100,93,49880269,237895,0.684,11,-3.971,0.0419,0.0225,0.0,0.658,0.419,114.011,237895,4
21,6JIC3hbC28JZKZ8AlAqX8h,Elton John,Cold Heart - PNAU Remix,The Lockdown Sessions,"['glam rock', 'mellow gold', 'piano rock']",82,85,9470340,202735,0.8,1,-6.32,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032,202735,4
22,1dm6z1fWB0cErMszU25dy2,Bad Bunny,Después de la Playa,Un Verano Sin Ti,"['latin', 'reggaeton', 'trap latino']",100,93,49880269,230400,0.903,5,-3.221,0.307,0.356,0.0,0.175,0.607,78.293,230400,4
23,58HvfVOeJY7lUuCqF0m3ly,Elley Duhé,MIDDLE OF THE NIGHT,MIDDLE OF THE NIGHT,"['alt z', 'pop']",75,93,258903,184448,0.611,4,-8.271,0.0467,0.0228,0.0,0.116,0.0899,185.727,184448,3
24,7FlQk2gJ6TBrHHiidvdR2O,Becky G,MAMIII,ESQUEMAS,"['dance pop', 'latin', 'latin viral pop', 'rap latina', 'reggaeton']",81,80,11648350,226093,0.703,4,-3.554,0.0657,0.0845,0.0,0.138,0.902,94.048,226093,4
25,1O2pcBJGej0pmH2Y9XZMs6,Cris Mj,Una Noche en Medellín,Una Noche en Medellín,"['mambo chileno', 'urbano chileno']",78,92,404916,153750,0.548,10,-5.253,0.077,0.0924,4.6e-05,0.0534,0.832,96.018,153750,4
26,6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,Justice,"['canadian pop', 'pop']",90,89,61898503,153190,0.741,2,-5.569,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190,4
27,1HhNoOuqm1a5MXYEgAFl8o,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,Mercury - Act 1,"['modern rock', 'rock']",86,84,40596619,173381,0.783,11,-4.424,0.266,0.237,0.0,0.434,0.555,77.011,173381,4
28,5CzixCxDkRXX9mScCmah8O,Bad Bunny,Un Ratito,Un Verano Sin Ti,"['latin', 'reggaeton', 'trap latino']",100,92,49880269,176936,0.546,0,-7.094,0.0532,0.305,4.55e-05,0.122,0.222,93.05,176936,4
29,4JzCFEc3O2UEdjKzevvFH5,BTS,For Youth,Proof,"['k-pop', 'k-pop boy group']",92,83,50895817,264481,0.511,2,-5.665,0.0368,0.434,0.0,0.248,0.29,116.855,264481,3
30,0T5iIrXA4p5GsubkhuBIKV,Stephen Sanchez,Until I Found You,Until I Found You,['gen z singer-songwriter'],72,90,109937,177720,0.508,10,-6.05,0.0288,0.727,0.0,0.174,0.227,101.358,177720,3
31,32vE1nuG8T9c8bhmZdRY6d,Post Malone,Cooped Up (with Roddy Ricch),Twelve Carat Toothache,"['dfw rap', 'melodic rap', 'rap']",89,81,37202541,185857,0.773,0,-5.619,0.153,0.038,0.0,0.113,0.377,93.923,185857,4
32,5Z9KJZvQzH6PFmb8SNkxuk,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),MONTERO,"['lgbtq+ hip hop', 'pop']",82,85,11150794,212353,0.691,10,-7.395,0.0672,0.0221,0.0,0.0476,0.892,150.087,212353,4
33,7ef4DlsgrMEH11cDZd32M6,Calvin Harris,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop rap', 'progressive house', 'uk dance']",84,88,22791692,214847,0.862,9,-3.24,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847,4
34,6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,Planet Her,"['dance pop', 'pop']",88,92,19570494,172627,0.764,5,-4.175,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627,4
35,50nfwKoDiSYg8zOCREWAm5,Ed Sheeran,Shivers,=,"['pop', 'uk pop']",90,90,98480160,207853,0.859,2,-2.724,0.0856,0.281,0.0,0.0424,0.822,141.02,207853,4
36,3uUuGVFu1V7jTQL60S1r8z,Lost Frequencies,Where Are You Now,Where Are You Now,"['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house']",77,91,2431210,148197,0.636,6,-8.117,0.103,0.515,0.000411,0.172,0.262,120.966,148197,4
37,59nOXPmaKlBfGMDeOVGrIK,Future,WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",88,90,11675161,189893,0.642,1,-4.474,0.34,0.314,0.0,0.0686,0.339,83.389,189893,4
38,5LYMamLv12UPbemOaTPyeV,Harry Styles,Music For a Sushi Restaurant,Harry's House,['pop'],94,91,21396163,193813,0.715,11,-4.652,0.04,0.258,0.0568,0.107,0.357,107.041,193813,4
39,6mmPpaltUZK7xjNlBPQQ0p,Rauw Alejandro,Desesperados,VICE VERSA,"['puerto rican pop', 'trap latino']",89,85,11993917,224997,0.694,1,-3.35,0.0783,0.356,0.00125,0.0878,0.511,90.02,224997,4
40,1797zYiX4cKosMH836X9Gt,Bad Bunny,La Corriente,Un Verano Sin Ti,"['latin', 'reggaeton', 'trap latino']",100,91,49880269,198367,0.786,11,-3.51,0.195,0.229,0.0,0.219,0.579,196.12,198367,4
41,0OTNHGKcqQbk51bOYe462Y,Polimá Westcoast,ULTRA SOLO,ULTRA SOLO,"['trap chileno', 'trap latino', 'trap triste', 'urbano chileno']",74,90,217981,227221,0.846,1,-4.495,0.207,0.233,1.92e-05,0.114,0.26,109.982,227221,4
42,1IthE5GNiRzFN5CVaCa445,BTS,Born Singer,Proof,"['k-pop', 'k-pop boy group']",92,82,50895817,238628,0.841,8,-3.334,0.109,0.0354,0.0,0.235,0.684,157.937,238628,4
43,6uvh0In7u1Xn4HgxOfAn8O,Harry Styles,Matilda,Harry's House,['pop'],94,92,21396163,245964,0.294,2,-10.0,0.04,0.896,1.97e-05,0.0966,0.386,114.199,245964,4
